endereco;valor;area;quartos;vagas;banheiros;pagina
Rua Cotoxó - Perdizes, São Paulo - SP;2000000.0;190;4;3;6;4
Perdizes, São Paulo - SP;550000.0;65;2;1;2;4
Rua Apinajés, 242 - Perdizes, São Paulo - SP;2180000.0;156;3;4;4;4
Rua Diana, 375 - Pompeia, São Paulo - SP;0.0;75;2;1;2;4
Avenida Francisco Matarazzo, 108 - Perdizes, São Paulo - SP;600000.0;110;2;2;3;4
Rua Tucuna - Perdizes, São Paulo - SP;1180000.0;104;3;2;4;4
Rua Apinajés - Perdizes, São Paulo - SP;730000.0;100;3;2;2;4
Rua Caraíbas, 224 - Perdizes, São Paulo - SP;755743.0;70;2;1;2;4
Rua Iperoig, 212 - Perdizes, São Paulo - SP;2965000.0;221;4;5;6;4
Rua Apiacás - Perdizes, São Paulo - SP;695000.0;102;3;2;3;4
Rua Melo Palheta, 133 - Água Branca, São Paulo - SP;1500000.0;109;3;2;3;4
Rua Apiacás, 403 - Perdizes, São Paulo - SP;750000.0;78;3;2;4;4
Rua Aimberê, 2035 - Perdizes, São Paulo - SP;1930900.0;157;3;2;5;4
Rua Aimberê, 2022 - Perdizes, São Paulo - SP;1780000.0;157;4;2;5;4
Rua Cotoxó, 300 - Perdizes, São Paulo - SP;3284000.0;190;4;3;5;4
Rua Bartira - Perdizes, São Paulo - SP;750000.0;97;3;1;2;4
Rua Monte Alegre, 1419 - Perdizes, São Paulo - SP;830000.0;124;3;1;1;4
Rua Melo Palheta, 133 - Água Branca, São Paulo - SP;1500000.0;109;3;1;3;4
Rua Bartira - Perdizes, São Paulo - SP;3185000.0;248;4;3;6;4
Rua José Donatelli, 8 - Perdizes, São Paulo - SP;2671447.0;200;4;3;5;4
Perdizes, São Paulo - SP;1680000.0;161;3;4;6;4
Rua Cayowaá, 390 - Perdizes, São Paulo - SP;2013000.0;150;3;3;3;4
Rua Pinto Gonçalves, 85 - Perdizes, São Paulo - SP;1799900.0;137;3;3;4;4
Rua Apiacás, 920 - Perdizes, São Paulo - SP;695000.0;85;2;1;2;4
Rua Xerentes, 66 - Perdizes, São Paulo - SP;0.0;37;1;1;1;4
Rua Ministro Godói, 628 - Perdizes, São Paulo - SP;580000.0;77;2;1;3;4
Rua Apiacás, 403 - Perdizes, São Paulo - SP;780000.0;79;2;2;3;4
Rua Aimberê - Perdizes, São Paulo - SP;1850000.0;157;4;2;5;4
Avenida Pompéia, 713 - Perdizes, São Paulo - SP;220500.0;24;1;0;1;4
Rua Bartira, 485 - Perdizes, São Paulo - SP;880000.0;90;2;1;3;4
Perdizes, São Paulo - SP;2201000.0;173;3;2;4;4
Perdizes, São Paulo - SP;2201000.0;173;3;2;4;5
Rua Doutor Costa Júnior, 338 - Perdizes, São Paulo - SP;0.0;244;3;4;5;5
Rua Melo Palheta - Perdizes, São Paulo - SP;247720.0;22;1;0;1;5
Rua Cayowaá - Perdizes, São Paulo - SP;870000.0;74;3;2;2;5
Rua Diana, 495 - Perdizes, São Paulo - SP;750000.0;56;2;1;2;5
Avenida Pompéia, 713 - Perdizes, São Paulo - SP;220300.0;24;1;0;1;5
Rua Cayowaá - Perdizes, São Paulo - SP;1256000.0;105;3;2;3;5
Rua Cardoso de Almeida, 119 - Perdizes, São Paulo - SP;985254.0;116;4;2;3;5
Rua São Geraldo - Perdizes, São Paulo - SP;1625500.0;136;2;2;2;5
Rua Apinajés - Perdizes, São Paulo - SP;1229000.0;92;3;2;2;5
Rua Tavares Bastos - Perdizes, São Paulo - SP;690000.0;113;3;1;2;5
Rua Cayowaá, 186 - Perdizes, São Paulo - SP;1434000.0;102;3;2;3;5
Rua Diana, 331 - Perdizes, São Paulo - SP;858000.0;71;2;2;2;5
Rua Aimberê - Perdizes, São Paulo - SP;3950000.0;287;4;3;5;5
Rua Aimberê, 2050 - Perdizes, São Paulo - SP;1800000.0;157;4;2;5;5
Rua Caraíbas, 212 - Pompeia, São Paulo - SP;0.0;70;2;2;2;5
Rua Desembargador do Vale - Perdizes, São Paulo - SP;915000.0;103;4;2;2;5
Rua Aimberê, 1405 - Perdizes, São Paulo - SP;2190000.0;183;4;4;5;5
Perdizes, São Paulo - SP;2450000.0;192;3;4;5;5
Avenida Pompéia, 713 - Perdizes, São Paulo - SP;220000.0;24;1;0;1;5
Perdizes, São Paulo - SP;1890000.0;157;4;2;5;5
Rua Raul Pompéia, 1071 - Perdizes, São Paulo - SP;790000.0;75;3;2;2;5
Rua Padre Chico, 224 - Perdizes, São Paulo - SP;0.0;70;1;1;2;5
Rua Padre Chico, 224 - Perdizes, São Paulo - SP;1387500.0;111;3;2;3;5
Rua Caiubi, 1220 - Perdizes, São Paulo - SP;8000.0;216;3;4;6;5
Rua Cayowaá, 5 - Perdizes, São Paulo - SP;1295000.0;104;3;2;3;5
Rua Turiassu, 130 - Perdizes, São Paulo - SP;1700.0;45;2;1;1;5
Rua Campevas, 74 - Perdizes, São Paulo - SP;730000.0;73;2;1;2;5
Perdizes, São Paulo - SP;421800.0;24;1;0;1;5
Rua Padre Chico, 224 - Perdizes, São Paulo - SP;0.0;70;2;1;2;5
Rua Apiacás, 630 - Perdizes, São Paulo - SP;1010000.0;93;3;2;3;5
Rua Ministro Ferreira Alves - Perdizes, São Paulo - SP;870000.0;72;3;2;2;5
Rua Piracuama, 404 - Perdizes, São Paulo - SP;1089000.0;118;3;3;4;5
Rua Aimberê - Perdizes, São Paulo - SP;2800000.0;244;4;2;3;5
Rua Paris, 824 - Perdizes, São Paulo - SP;860000.0;69;2;1;2;5
Rua Cayowaá, 650 - Perdizes, São Paulo - SP;850000.0;76;3;2;3;5
Perdizes, São Paulo - SP;1908000.0;137;3;3;5;6
Rua Padre Chico, 224 - Perdizes, São Paulo - SP;875000.0;70;2;1;2;6
Rua Capitão Messias, 64 - Perdizes, São Paulo - SP;1099900.0;100;3;2;2;6
Rua Capitão Messias, 64 - Perdizes, São Paulo - SP;1200000.0;100;3;1;3;6
Rua Bartira - Perdizes, São Paulo - SP;839000.0;63;2;1;2;6
Rua Cayowaá, 390 - Perdizes, São Paulo - SP;2013000.0;150;3;3;3;6
Rua Caraíbas - Perdizes, São Paulo - SP;3180000.0;240;4;5;6;6
Rua Doutor Costa Júnior - Perdizes, São Paulo - SP;3776172.0;244;4;4;4;6
Rua Tucuna, 88 - Perdizes, São Paulo - SP;0.0;60;2;1;2;6
Rua Wanderley - Perdizes, São Paulo - SP;11000.0;221;4;4;6;6
